"LAT";"LON";"DATETIME";"distance"
54.52337;18.65817;2016-12-13 15:51:07;3.41293365897771
54.52338;18.65812;2016-12-13 15:53:02;0
54.52338;18.65812;2016-12-13 15:53:07;0
54.52338;18.65812;2016-12-13 15:55:02;0
54.52338;18.65812;2016-12-13 15:55:07;6.69788823858828
54.52341;18.65821;2016-12-13 15:57:02;0
54.52341;18.65821;2016-12-13 15:57:09;10.0283294945638
54.52332;18.6582;2016-12-13 15:59:02;0
54.52332;18.6582;2016-12-13 15:59:07;0
54.52332;18.6582;2016-12-13 16:01:02;0
54.52332;18.6582;2016-12-13 16:01:08;3.57683566868487
54.52335;18.65818;2016-12-13 16:03:02;3.57683566868487
54.52332;18.6582;2016-12-13 16:03:07;9.46273150779221
54.5234;18.65825;2016-12-13 16:05:02;0
54.5234;18.65825;2016-12-13 16:05:07;0
54.5234;18.65825;2016-12-13 16:07:02;0
54.5234;18.65825;2016-12-13 16:07:07;6.54851967520331
54.52341;18.65815;2016-12-13 16:09:02;0
54.52341;18.65815;2016-12-13 16:09:07;4.2179784988901
54.52344;18.65811;2016-12-13 16:11:02;0
54.52344;18.65811;2016-12-13 16:11:07;0
54.52344;18.65811;2016-12-13 16:13:02;0
54.52344;18.65811;2016-12-13 16:13:08;3.91884822683894
54.52346;18.65816;2016-12-13 16:15:02;0
54.52346;18.65816;2016-12-13 16:15:07;0
54.52346;18.65816;2016-12-13 16:17:02;0
54.52346;18.65816;2016-12-13 16:17:07;0
54.52346;18.65816;2016-12-13 16:19:02;0
54.52346;18.65816;2016-12-13 16:19:08;10.1109725223711
54.52339;18.65826;2016-12-13 16:21:02;0
54.52339;18.65826;2016-12-13 16:21:07;0
54.52339;18.65826;2016-12-13 16:23:02;0
54.52339;18.65826;2016-12-13 16:23:07;3.39769735724556
54.52342;18.65827;2016-12-13 16:25:02;0
54.52342;18.65827;2016-12-13 16:25:08;8.05710051291476
54.52344;18.65815;2016-12-13 16:27:02;0
54.52344;18.65815;2016-12-13 16:27:07;0
54.52344;18.65815;2016-12-13 16:29:02;0
54.52344;18.65815;2016-12-13 16:29:07;0
54.52344;18.65815;2016-12-13 16:31:01;4.02854888883528
54.52345;18.65809;2016-12-13 16:31:07;2.23262694613168
54.52346;18.65812;2016-12-13 16:33:01;0
54.52346;18.65812;2016-12-13 16:33:07;0
54.52346;18.65812;2016-12-13 16:35:02;0
54.52346;18.65812;2016-12-13 16:35:07;1.70361211617503
54.52345;18.6581;2016-12-13 16:37:01;0
54.52345;18.6581;2016-12-13 16:37:06;3.91884887748734
54.52343;18.65815;2016-12-13 16:39:02;0
54.52343;18.65815;2016-12-13 16:39:08;0
54.52343;18.65815;2016-12-13 16:41:02;0
54.52343;18.65815;2016-12-13 16:41:07;1.29068397011972
54.52343;18.65817;2016-12-13 16:43:02;0
54.52343;18.65817;2016-12-13 16:43:08;1.93602595507694
54.52343;18.65814;2016-12-13 16:45:02;0
54.52343;18.65814;2016-12-13 16:45:07;0
54.52343;18.65814;2016-12-13 16:47:02;0
54.52343;18.65814;2016-12-13 16:47:07;5.110839221878
54.5234;18.6582;2016-12-13 16:49:02;0
54.5234;18.6582;2016-12-13 16:49:08;2.94854684971172
54.52338;18.65823;2016-12-13 16:51:02;0
54.52338;18.65823;2016-12-13 16:51:08;0
54.52338;18.65823;2016-12-13 16:53:02;0
54.52338;18.65823;2016-12-13 16:53:07;8.46282586988231
54.52337;18.6581;2016-12-13 16:55:02;0
54.52337;18.6581;2016-12-13 16:55:07;3.22671466648191
54.52337;18.65815;2016-12-13 16:57:02;0
54.52337;18.65815;2016-12-13 16:57:09;0
54.52337;18.65815;2016-12-13 16:59:02;0
54.52337;18.65815;2016-12-13 16:59:07;4.65223964926492
54.52338;18.65822;2016-12-13 17:01:03;0
54.52338;18.65822;2016-12-13 17:01:09;0
54.52338;18.65822;2016-12-13 17:03:01;0
54.52338;18.65822;2016-12-13 17:03:07;14.2410200680588
54.52337;18.658;2016-12-13 17:05:02;0
54.52337;18.658;2016-12-13 17:05:07;0
54.52337;18.658;2016-12-13 17:07:02;0
54.52337;18.658;2016-12-13 17:07:07;11.7271620238996
54.52342;18.65816;2016-12-13 17:09:02;0
54.52342;18.65816;2016-12-13 17:09:07;0
54.52342;18.65816;2016-12-13 17:11:02;0
54.52342;18.65816;2016-12-13 17:11:08;7.5871382447756
54.52337;18.65824;2016-12-13 17:13:02;0
54.52337;18.65824;2016-12-13 17:13:07;0
